TANK BULKHEAD DATA Group 22; Version 3.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
47.1865,2.693, 6.2499, 10.0641,2.193,3.193
43.4859,94.304, 5.3997, 8.8732,93.804,94.804
310.4601,53.1465, 5.6814, 1.0597,18.7392,94.304
628.9766,62.2815, 3.5, 7.5294,37.9766,86.5865
428.5415,21.1513, 3.5, 7.8731,2.693,37.9766
99.8595,90.4452, 3.5, 7.5294,86.5865,94.304
340.2689,62.2815, 0, 1.0597,37.9766,86.5865
628.9766,62.2815, -3.5, 7.5294,37.9766,86.5865
90.575,86.5865, 0, 7.5294,86.0865,87.0865
90.575,37.9766, 0, 7.5294,37.4766,38.4766
43.4859,94.304, -5.3997, 8.8732,93.804,94.804
99.8595,90.4452, -3.5, 7.5294,86.5865,94.304
428.5415,21.1513, -3.5, 7.8731,2.693,37.9766
47.1865,2.693, -6.2499, 10.0641,2.193,3.193
310.4601,53.1465, -5.6814, 1.0597,18.7392,94.304
