TANK BULKHEAD DATA Group 22; Version 4.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
41.9843,11, 7.7346, 5.4964,10.5,11.5
347.76,44.2902, 5, 4.653,24.2902,64.2902
237.4911,42.9686, 5, 4.3229,11,76.3152
36.9169,76.3152, 7.3469, 5.4563,75.8152,76.8152
400,44.2902, 0, 0.306,24.2902,64.2902
347.76,44.2902, -5, 4.653,24.2902,64.2902
86.94,64.2902, 0, 4.653,63.7902,64.7902
86.94,24.2902, 0, 4.653,23.7902,24.7902
41.9843,11, -7.7346, 5.4964,10.5,11.5
237.4911,42.9686, -5, 4.3229,11,76.3152
36.9169,76.3152, -7.3469, 5.4563,75.8152,76.8152
