TANK BULKHEAD DATA Group 99; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
41.201,69.149, 5.7819, 5.8947,68.649,69.649
211.6107,30.2496, 3.5, 4.9995,19.668,40.8312
189.5678,9.8786, 3.5, 5.43,-1.585,19.668
283.092,54.9873, 3.5, 5.0005,40.8312,69.149
211.6107,30.2496, -3.5, 4.9995,19.668,40.8312
69.993,40.8312, 0, 4.9995,40.3312,41.3312
69.993,19.668, 0, 4.9995,19.168,20.168
41.201,69.149, -5.7819, 5.8947,68.649,69.649
283.092,54.9873, -3.5, 5.0005,40.8312,69.149
189.5678,9.8786, -3.5, 5.43,-1.585,19.668
