TANK BULKHEAD DATA Group 22; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
47.3762,24.2618, 6.268, 5.0543,23.7618,24.7618
114.1779,30.6051, 3.5, 4.5003,24.2618,36.949
44.4822,36.949, 6.1348, 5.1323,36.449,37.449
188.3148,30.1379, -3.5, 4.5444,19.668,40.8312
57.0149,40.8312, 0, 4.9077,40.3312,41.3312
32.7925,38.8156, 3.5, 4.7541,36.949,40.8312
41.3444,21.9649, 3.5, 4.5,19.668,24.2618
63,19.668, 0, 4.5,19.168,20.168
47.3762,13.485, -6.268, 5.0543,12.985,13.985
132.5209,6.0798, -3.5, 4.6615,-1.948,13.485
18.1686,-1.948, -5.3958, 6.8256,-2.448,-1.448
