TANK BULKHEAD DATA Group 22; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
56.2351,5.454, 6.0741, 6.3275,4.954,5.954
267.0177,35.6547, 3.5, 5.6896,23.9221,47.3873
210.1533,14.688, 3.5, 5.6896,5.454,23.9221
209.3176,56.5899, 3.5, 5.7118,47.3873,65.8554
40.9091,65.8554, 5.6748, 7.1616,65.3554,66.3554
374.4868,35.5503, 6.6004, 11.3793,5.454,65.8554
164.2567,35.6547, 0, 11.3793,23.9221,47.3873
267.0177,35.6547, -3.5, 5.6896,23.9221,47.3873
79.655,47.3873, 0, 5.6896,46.8873,47.8873
79.655,23.9221, 0, 5.6896,23.4221,24.4221
581.6279,45.5775, -5.321, -3.7933,13.284,73.6854
637.9964,41.5768, -5.321, 5.9114,13.284,73.6854
