TANK BULKHEAD DATA Group 22; Version 5.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
55.6827,24.2618, 6.4083, 5.5744,23.7618,24.7618
126.8591,30.6054, 3.5, 4.9995,24.2618,36.949
55.6827,36.949, 6.4083, 5.5744,36.449,37.449
211.6104,30.2496, -3.5, 4.9995,19.668,40.8312
69.9925,40.8312, 0, 4.9995,40.3312,41.3312
38.8177,38.8901, 3.5, 4.9995,36.949,40.8312
45.9336,21.9649, 3.5, 4.9995,19.668,24.2618
69.9929,19.668, 0, 4.9995,19.168,20.168
50.038,13.485, -6.2873, 5.8596,12.985,13.985
117.0252,6.4612, -3.5, 6.1155,-1.948,13.485
18.6624,-1.948, -5.4321, 7.8086,-2.448,-1.448
