TANK BULKHEAD DATA Group 98; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
935.6006,99.0814, 4.35, 7.4996,67.8926,130.2713
775.9616,41.9217, 4.35, 7.651,14.997,67.8926
121.7191,134.346, 4.35, 7.6042,130.2713,138.5059
95.6667,14.997, 8.1495, 8.7426,14.497,15.497
935.6006,99.0814, -4.35, 7.4996,67.8926,130.2713
130.481,130.2713, 0, 7.5001,129.7713,130.7713
130.4913,67.8926, 0, 7.4995,67.3926,68.3926
121.7191,134.346, -4.35, 7.6042,130.2713,138.5059
775.9616,41.9217, -4.35, 7.651,14.997,67.8926
95.6667,14.997, -8.1495, 8.7426,14.497,15.497
