TANK BULKHEAD DATA Group 98; Version 1.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
934.9144,99.0814, 4.35, 7.4941,67.8926,130.2713
775.3925,41.9217, 4.35, 7.6454,14.997,67.8926
121.574,134.3441, 4.35, 7.5987,130.2713,138.5022
95.4582,14.997, 8.144, 8.7362,14.497,15.497
934.9144,99.0814, -4.35, 7.4941,67.8926,130.2713
130.3852,130.2713, 0, 7.4946,129.7713,130.7713
130.3956,67.8926, 0, 7.494,67.3926,68.3926
121.574,134.3441, -4.35, 7.5987,130.2713,138.5022
775.3925,41.9217, -4.35, 7.6454,14.997,67.8926
95.4582,14.997, -8.144, 8.7362,14.497,15.497
