TANK BULKHEAD DATA Group 22; Version 24.0
BHD Area [m2], lcg [m], tcg [m], vcg [m], x_min [m], x_max [m]
29.57,11, 6.9563, 5.5165,10.5,11.5
346.96,44.143, 5, 4.643,24.143,64.143
227.1988,42.7063, 5, 4.4927,11,76.3152
16.3731,76.3152, 6.2151, 5.9706,75.8152,76.8152
400,44.143, 0, 0.306,24.143,64.143
346.96,44.143, -5, 4.643,24.143,64.143
86.74,64.143, 0, 4.643,63.643,64.643
86.74,24.143, 0, 4.643,23.643,24.643
29.57,11, -6.9563, 5.5165,10.5,11.5
227.1988,42.7063, -5, 4.4927,11,76.3152
16.3731,76.3152, -6.2151, 5.9706,75.8152,76.8152
